代码,名称,总市值_亿
002423,中粮资本,211.29
002426,胜利精密,113.31
002428,云南锗业,595.44
002429,兆驰股份,524.82
002430,杭氧股份,242.92
002432,九安医疗,354.96
002436,兴森科技,587.14
002439,启明星辰,102.51
002444,巨星科技,371.54
002456,欧菲光,297.24
002459,晶澳科技,301.16
002460,赣锋锂业,865.78
002461,珠江啤酒,219.12
002463,沪电股份,2538.88
002465,海格通信,392.5
002466,天齐锂业,927.94
002468,申通快递,224.01
002472,双环传动,293.65
002475,立讯精密,5332.54
002484,江海股份,638.74
002487,大金重工,460.51
002491,通鼎互联,281.53
002493,荣盛石化,1051.47
002497,雅化集团,242.75
002498,汉缆股份,272.13
002500,山西证券,186.67
002506,协鑫集成,202.22
002507,涪陵榨菜,134.99
002508,老板电器,161.6
002517,恺英网络,303.01
002518,科士达,306.81
002531,天顺风能,197.08
002532,天山铝业,613.15
002534,西子洁能,166.39
002536,飞龙股份,210.41
002539,云图控股,112.29
002544,普天科技,147.66
002545,东方铁塔,246.38
002549,凯美特气,105.38
002552,宝鼎科技,212.63
002555,三七互娱,304.77
002557,洽洽食品,110.8
002558,巨人网络,495.29
002563,森马服饰,120.95
002565,顺灏股份,154.65
002568,百润股份,150.63
002579,中京电子,100.06
002580,圣阳股份,109.83
002583,海能达,107.49
002594,比亚迪,3353.42
002595,豪迈科技,602.6
002597,金禾实业,118.67
002600,领益智造,1047.56
002601,龙佰集团,284.23
002602,世纪华通,990.98
002603,以岭药业,223.27
002607,中公教育,134.15
002608,江苏国信,347.58
002611,东方精工,167.72
002617,露笑科技,173.3
002624,完美世界,256.07
002625,光启技术,866.36
002636,金安国纪,387.58
002639,雪人集团,113.33
002643,万润股份,135.03
002645,华宏科技,164.72
002647,仁东控股,118.18
002648,卫星化学,783.38
002653,海思科,276.82
002654,万润科技,129.41
002655,共达电声,147.4
002668,TCL智家,101.26
002670,国盛证券,187.33
002673,西部证券,294.55
002683,广东宏大,213.63
002698,博实股份,105.7
002701,奥瑞金,128.64
002703,浙江世宝,110.41
002705,新宝股份,104.16
002706,良信股份,133.96
002709,天赐材料,785.14
002714,牧原股份,1446.73
002716,湖南白银,218.3
002730,电光科技,104.26
002733,雄韬股份,123.27
002736,国信证券,972.78
002738,中矿资源,440.18
002739,儒意电影,193.4
002741,光华科技,123.05
002745,木林森,110.56
002747,埃斯顿,216.88
002755,奥赛康,135.14
002756,永兴材料,241.77
002759,天际股份,139.76
002768,国恩股份,111.81
002773,康弘药业,144.22
002779,中坚科技,116.7
002782,可立克,134.86
002792,通宇通讯,140.91
002796,世嘉科技,109.37
002797,第一创业,294.17
002807,江阴银行,107.06
002812,恩捷股份,579.71
002815,崇达技术,128.23
002821,凯莱英,372.22
002831,裕同科技,196.94
002837,英维克,791.32
002838,道恩股份,141.92
002839,张家港行,103.54
002841,视源股份,189.79
002847,盐津铺子,143.94
002850,科达利,350
002851,麦格米特,577.42
002859,洁美科技,280.88
002865,钧达股份,172.23
002867,周大生,135.97
002885,京泉华,104.87
002895,川恒股份,202.88
002896,中大力德,149
002897,意华股份,140.28
002901,大博医疗,117.1
002906,华阳集团,151.88
002911,佛燃能源,143.94
002913,奥士康,157.78
002916,深南电路,2735.09
002920,德赛西威,607.12
002922,伊戈尔,160.38
002925,盈趣科技,139.34
002926,华西证券,212.36
002928,华夏航空,100.98
002929,润建股份,156.93
002931,锋龙股份,105.76
002936,郑州银行,124.42
002938,鹏鼎控股,2425.14
002939,长城证券,306.23
002943,宇晶股份,120.63
002945,华林证券,393.66
002946,新乳业,159.34
002947,恒铭达,175.14
002948,青岛银行,173.99
002957,科瑞技术,259.75
002958,青农商行,156.11
002961,瑞达期货,105.31
002966,苏州银行,358.23
002967,广电计量,114.48
002969,嘉美包装,203.8
002975,博杰股份,198.2
002978,安宁股份,102.4
002979,雷赛智能,120.9
002980,华盛昌,110.63
002984,森麒麟,108.66
002987,京北方,115.89
002993,奥海科技,154.37
003018,金富科技,159.83
003021,兆威机电,200.81
003022,联泓新科,330.81
003031,中瓷电子,482.68
003035,南网能源,283.33
003036,泰坦股份,153.56
003816,中国广核,1801.55
003043,华亚智能,124.47
